Tree_ID,E,N,Height_m,Crown_Diameter_m
43,2612110.1122707427,1266251.5144978166,284.91,8.54
44,2612254.271021898,1266137.5544525548,284.87,6.6
45,2612763.99,1266014.33,284.86,2.65
46,2612740.0030434784,1266004.6408695653,284.85,6.05
47,2612793.8365909094,1266052.233409091,284.85,5.29
48,2612248.157721519,1266131.1084810128,284.8,7.09
49,2612111.6270967745,1266258.5880645162,284.76,6.28
50,2612281.0701886793,1266235.2686792454,284.76,5.81
51,2613258.4953380786,1266817.9714590749,284.75,9.46
52,2612185.3073913045,1266301.123478261,284.74,6.05
53,2612244.238148148,1266160.3577777778,284.66,6.56
54,2612758.778659794,1266026.0593814433,284.65,5.56
55,2612312.4667441864,1266096.2776744186,284.62,3.7
56,2612189.7854545456,1266130.7754545456,284.6,5.92
57,2612637.4921367522,1266005.4603418803,284.57,8.63
58,2612258.6244537816,1266083.8699159664,284.56,6.15
59,2612725.867777778,1266029.0133333334,284.54,5.35
60,2612124.2233333336,1266201.0911111112,284.49,6.56
61,2612241.4483333337,1266200.7675,284.49,2.76
62,2612115.8759649126,1266197.4703508774,284.48,6.02
63,2612178.9344444447,1266308.9926984129,284.48,4.48
64,2612141.535714286,1266213.6457142858,284.47,7.46
65,2613245.5749056605,1266728.304528302,284.38,9.18
66,2612105.816666667,1266240.4966666668,284.37,6.91
67,2612157.7823728817,1266316.6562711864,284.37,6.13
68,2612130.109883041,1266346.5039766082,284.36,7.38
69,2612252.1170491804,1266236.567704918,284.34,6.23
70,2612711.078235294,1266038.0947058825,284.34,3.29
71,2612790.098247423,1266006.6779381444,284.34,5.56
72,2612184.9740425535,1266098.6119148936,284.32,5.47
73,2612103.730740741,1266238.8577777778,284.28,2.93
74,2612111.578235294,1266184.3189705883,284.27,6.58
75,2612778.76631579,1266032.3036842106,284.25,4.92
76,2612173.539180328,1266252.7603278689,284.24,4.41
77,2612626.5081818183,1266008.070909091,284.24,4.18
78,2612275.7471428574,1266222.0133333334,284.23,8.18
79,2612669.3372222222,1266006.9341666668,284.2,8.29
80,2612191.1318918923,1266175.9651351352,284.19,4.85
81,2612794.8971038256,1266062.7548633881,284.16,7.63
82,2612723.2831034483,1266040.8213793105,284.14,3.04
83,2612304.190787402,1266186.4697637795,284.13,6.36
84,2612272.038245614,1266248.4089473684,284.12,6.02
85,2612691.539019608,1266081.08,284.11,4.03
86,2612706.8214606745,1266037.7429213484,284.11,5.32
87,2612134.0591056915,1266334.966178862,284.07,6.26
88,2612144.007857143,1266205.1692857144,284.03,5.17
89,2612758.234318182,1266015.920909091,284.01,5.29
90,2612262.0525,1266089.7284375,283.97,6.38
91,2612656.526585366,1266038.58,283.97,3.61
92,2612520.8287755107,1266010.48,283.95,8.83
93,2612629.348108108,1266004.7624324325,283.95,4.85
94,2612512.8476158944,1266010.7720529803,283.9,6.93
95,2612722.94625,1266045.3487500001,284.03,5.05
96,2612300.045147059,1266180.0579411765,283.88,6.58
97,2612655.171372549,1266043.2711764707,283.84,5.7
98,2612142.519166667,1266438.8716666668,283.83,6.18
99,2612146.0203030305,1266439.3754545455,283.83,4.58
100,2612274.162727273,1266135.3800000001,283.82,5.92
101,2612200.9824242424,1266231.33,283.81,4.58
102,2612129.6811764706,1266287.8447058825,283.78,4.65
103,2612715.9534146343,1266007.1653658538,283.78,6.26
104,2612731.870733945,1266015.7955963304,283.78,5.89
105,2612782.271553398,1266002.0217475728,283.76,5.73
106,2612674.442282158,1266048.9160995851,283.73,8.76
107,2612537.29239521,1266013.4213173653,283.7,7.29
108,2612775.99,1266035.974736842,283.7,3.48
109,2612227.787619048,1266211.0204761906,283.68,3.66
110,2612530.249124088,1266020.7113868613,283.66,6.6
111,2612431.5469620256,1266112.5356962027,283.65,7.09
112,2612225.91,1266167.956,283.62,6.31
113,2612220.7442372884,1266199.0291525424,283.6,4.33
114,2612161.771690141,1266261.8476056338,283.59,4.75
115,2612163.5863855425,1266244.8089156628,283.59,5.14
116,2612438.5145398774,1266115.3161963192,283.58,7.2
117,2612644.443125,1266006.3925,283.57,3.19
