Tree_ID,X,Y,Height_m,Crown_Diameter_m
47,2612404.789696361,1266081.6339431808,284.74,6.48
48,2612362.274544846,1266007.967276514,284.76,6.21
49,2612308.9715145426,1266111.1945492413,285.07,5.61
50,2612413.3125736485,1266076.4924790342,284.48,8.02
51,2612109.9752625492,1266524.021582734,284.47,7.78
52,2612317.431701519,1266037.5591527228,284.48,7.74
53,2612111.2554832622,1266683.6690360447,284.5,9.93
54,2612108.5732461447,1266646.6036401503,284.66,7.0
55,2612241.0376864662,1266150.491704467,284.87,6.84
56,2612338.837856534,1266177.436432358,284.76,5.97
57,2612304.6133327247,1266020.3200037868,284.49,6.91
58,2612832.1563303266,1267141.8910829234,284.38,9.41
59,2612326.5449993913,1266172.4600037867,284.27,7.98
60,2612279.5391774736,1266086.6852092661,284.46,6.82
61,2612344.152499391,1266001.4925037867,284.37,7.98
62,2612234.274544846,1266086.167276514,284.6,5.92
63,2612134.1554291607,1266661.8102343946,284.36,12.32
64,2612147.5206103893,1266551.4345048051,284.32,12.5
65,2612420.227999391,1266054.0000037868,284.37,6.31
66,2612119.338831783,1266621.0987608489,284.22,13.0
67,2612450.224144469,1266026.5897447194,284.36,7.84
68,2612187.343436891,1266155.0681287867,284.56,6.38
69,2612132.556024236,1266621.7648485072,284.54,7.16
70,2612288.043020974,1266008.0205793264,284.27,6.65
71,2612109.857697804,1266565.6923847392,284.2,8.96
72,2612183.9275691123,1266589.7619161373,284.24,8.94
73,2612138.4877310204,1266674.7384063427,284.29,9.98
74,2612352.158842366,1266168.405293043,284.32,6.21
75,2612339.9904539366,1266148.3498522716,284.34,6.48
76,2612111.374244674,1266542.9145320887,284.05,8.21
77,2612993.767235572,1267071.669652028,285.2,7.96
78,2612232.0148523324,1266005.1113273161,287.87,6.58
79,2612165.519186383,1266690.642442811,284.16,8.85
80,2612115.7925268635,1266418.1878059846,283.95,7.61
81,2612114.1937617674,1266409.274657252,284.19,8.02
82,2612193.334814206,1266158.4437074903,284.02,6.56
83,2612542.6410520226,1266040.1636879973,283.83,7.78
84,2612125.7285359767,1266679.503723299,283.97,10.22
85,2612438.593436891,1266030.5212537867,284.07,6.38
86,2612192.353653237,1266658.570131992,283.87,9.97
87,2612117.1597783966,1266433.1930424608,283.7,7.59
88,2612110.501817573,1266612.364246211,283.78,7.25
89,2612173.329049165,1266683.1653431533,283.78,8.39
90,2612283.471851243,1266196.5918556387,283.88,6.56
91,2612179.898312644,1266649.6436182447,291.69,7.27
92,2612289.883909166,1266200.4881240875,284.13,6.51
93,2612114.029999391,1266528.6950037868,283.7,7.98
94,2612215.9637119663,1266327.9136564813,283.65,7.29
95,2612301.2538836887,1266012.5044665968,284.48,6.21
96,2612118.436821821,1266544.0639913257,283.62,10.11
97,2612152.204296912,1266568.8081856049,283.73,12.41
98,2612271.9544531726,1266122.235802106,283.62,6.15
99,2612238.541830377,1266171.3139474487,287.94,6.72
100,2612165.768679743,1266662.1725551065,283.61,10.42
101,2612119.7204969036,1266690.4514465728,283.55,8.0
102,2612176.294226195,1266661.5307254363,283.97,12.42
103,2612161.041029434,1266678.795797778,283.41,12.18
104,2612114.406206288,1266628.6267032942,283.55,8.04
105,2612728.372485579,1266214.7842026819,283.41,7.59
106,2612138.869018999,1266617.6444155516,283.5,8.06
107,2612218.683635755,1266334.7655719686,283.58,7.48
108,2612124.1624651444,1266426.7708257046,283.66,6.82
109,2612145.130525707,1266679.1584248394,284.02,7.78
110,2612158.6124522216,1266666.5937773716,283.45,10.06
111,2612262.332738245,1266289.9438254428,283.5,7.07
112,2612313.3354633087,1266124.3327872918,283.77,5.56
