X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613471.42;1266730.87;263.47;89;69;76;0.31;-0.13;0.94;79;9
2613469.64;1266718.39;261.36;82;64;61;-0.39;-0.44;0.81;9;9
2613467.23;1266729.57;263.37;81;57;54;-0.33;0.14;0.93;9;9
2613468.84;1266722.55;261.9;81;60;56;-0.51;0.37;0.78;9;9
2613461.75;1266726.94;261.31;63;47;45;-0.66;0.26;0.71;9;9
2613472.65;1266732.23;263.39;73;52;53;0.31;0.1;0.95;79;9
2613469.63;1266731.04;263.79;92;70;71;-0.1;-0.0;1.0;72;9
2613466.19;1266727.3;263.34;86;62;59;-0.22;-0.07;0.97;9;9
2613471.66;1266731.3;263.48;81;57;56;0.03;-0.12;0.99;79;9
2613470.99;1266719.98;261.6;75;56;50;0.33;-0.13;0.94;9;9
2613470.69;1266718.39;261.29;63;52;50;0.68;-0.41;0.61;9;9
2613473.44;1266731.61;262.07;84;64;63;0.22;-0.91;-0.35;79;9
2613466.56;1266727.98;263.31;82;54;50;-0.23;0.29;0.93;9;9
2613466.74;1266727.05;263.39;81;55;52;-0.11;0.02;0.99;9;9
2613467.79;1266725.08;263.43;83;58;57;-0.04;-0.25;0.97;9;9
2613463.35;1266730.39;261.33;70;52;49;-0.71;0.45;0.53;9;9
2613470.75;1266718.5;261.54;79;70;71;0.53;-0.33;0.79;9;9
2613461.69;1266725.76;261.51;76;57;53;-0.19;0.1;0.98;9;9
2613473.44;1266731.61;262.07;84;64;63;0.22;-0.91;-0.35;79;9
2613465.82;1266720.89;261.72;79;59;54;-0.19;-0.39;0.9;9;9
2613463.67;1266724.49;262.56;87;64;60;-0.36;0.17;0.92;9;9
2613472.28;1266729.35;262.97;77;54;51;0.53;-0.38;0.76;79;9
2613463.85;1266726.42;262.14;83;56;52;-0.54;0.06;0.84;9;9
2613466.81;1266724.53;263.22;96;71;68;0.01;-0.25;0.97;9;9
2613471.67;1266725.62;262.32;79;58;58;0.14;0.15;0.98;9;9
2613465.69;1266728.05;262.88;81;53;50;-0.45;0.42;0.79;9;9
2613472.77;1266722.7;261.33;60;51;45;0.79;-0.28;0.55;9;9
2613464.96;1266720.67;261.22;83;65;63;-0.33;-0.66;0.68;9;9
2613464.83;1266727.16;262.17;83;64;68;-0.33;0.33;0.88;9;9
2613469.21;1266726.62;263.42;79;56;54;0.56;-0.27;0.79;9;9
2613471.79;1266723.16;262.1;81;59;56;0.38;-0.48;0.79;9;9
2613463.85;1266724.06;262.48;88;67;64;-0.34;-0.21;0.91;9;9
2613465.82;1266725.6;262.59;110;95;119;-0.43;0.48;0.76;9;9
2613466.38;1266720.1;261.5;82;59;56;-0.29;-0.37;0.88;9;9
2613468.47;1266727.04;263.69;85;61;63;-0.26;0.25;0.93;9;9
2613468.47;1266726.11;263.71;86;65;66;0.15;-0.17;0.97;9;9
2613464.02;1266731.43;261.55;76;62;56;-0.39;0.16;0.91;72;9
2613463.1;1266729.96;261.37;69;54;51;-0.79;0.42;0.45;9;9
2613473.51;1266725.15;261.86;78;58;56;0.49;-0.06;0.87;79;9
2613472.46;1266726.43;262.23;85;65;69;0.29;-0.21;0.93;79;9
2613467.55;1266725.08;263.43;84;59;58;-0.49;-0.22;0.85;9;9
2613462.8;1266726.0;261.88;80;56;52;-0.34;0.09;0.94;9;9
2613469.39;1266719.12;261.57;83;63;59;0.01;-0.11;0.99;9;9
2613464.09;1266728.39;262.04;75;57;57;-0.05;-0.1;0.99;9;9
2613471.91;1266731.3;263.42;86;64;67;-0.01;-0.23;0.97;79;9
2613471.97;1266725.43;262.5;86;63;62;0.15;0.09;0.99;9;9
2613469.21;1266718.87;261.62;84;63;61;-0.25;-0.24;0.94;9;9
2613465.02;1266727.26;262.67;80;55;53;-0.67;0.28;0.69;9;9
2613464.1;1266724.3;262.67;89;67;63;-0.39;-0.16;0.91;9;9
2613462.61;1266728.98;261.27;69;56;52;-0.76;0.35;0.55;9;9
2613465.14;1266720.61;261.22;83;62;60;-0.38;-0.68;0.62;9;9
2613468.04;1266722.4;262.7;91;67;64;-0.17;-0.35;0.92;9;9
2613466.8;1266731.51;262.71;80;54;53;-0.66;0.29;0.69;72;9
2613465.7;1266724.67;262.68;76;56;55;-0.19;0.13;0.97;9;9
2613467.61;1266722.58;262.71;92;67;65;0.03;-0.38;0.93;9;9
2613466.74;1266726.62;263.37;88;65;63;-0.15;0.02;0.99;9;9
2613465.19;1266731.67;261.92;95;76;81;-0.07;-0.12;0.99;72;9
2613463.11;1266723.59;261.91;79;55;51;-0.25;-0.28;0.93;9;9
2613468.29;1266724.65;263.41;79;57;56;-0.17;-0.23;0.96;9;9
2613466.8;1266728.23;263.19;81;53;50;-0.56;0.36;0.75;9;9
2613466.8;1266730.46;262.91;88;63;58;-0.57;0.18;0.8;72;9
2613470.25;1266722.42;262.26;80;57;53;0.63;-0.03;0.78;9;9
2613466.0;1266728.04;261.83;115;100;123;-0.33;0.09;0.94;9;9
2613470.75;1266722.61;262.02;90;73;77;0.45;-0.2;0.87;9;9
2613469.83;1266720.64;262.06;86;65;66;-0.06;-0.48;0.88;9;9
2613473.14;1266723.93;261.57;69;53;54;0.65;-0.59;0.47;9;9
2613471.42;1266728.91;263.2;77;55;55;0.45;-0.4;0.8;79;9
2613468.53;1266724.34;263.27;90;69;72;0.19;-0.17;0.97;9;9
2613464.77;1266728.75;262.42;91;67;72;-0.76;-0.15;0.63;9;9
2613471.6;1266731.79;263.63;81;55;54;0.4;0.03;0.92;79;9
2613461.32;1266726.27;261.1;63;51;49;-0.79;0.42;0.45;9;9
2613470.93;1266727.38;262.89;79;56;54;0.39;-0.23;0.89;9;9
2613470.01;1266722.41;262.38;84;61;63;0.47;-0.19;0.86;9;9
2613463.78;1266730.69;261.58;78;59;52;-0.46;0.26;0.85;72;9
2613466.25;1266725.08;263.37;91;68;65;0.12;-0.03;0.99;9;9
2613471.55;1266720.96;261.7;72;55;54;0.57;-0.22;0.79;9;9
2613469.94;1266726.39;262.92;78;56;54;0.49;-0.24;0.84;9;9
2613472.03;1266725.33;262.0;79;59;57;0.13;-0.15;0.98;9;9
2613463.91;1266721.83;261.4;76;53;48;-0.24;-0.28;0.93;9;9
2613471.54;1266722.69;261.77;81;61;59;-0.16;-0.14;0.98;9;9
2613472.22;1266724.7;262.22;83;60;57;0.2;-0.08;0.98;9;9
2613466.81;1266725.81;263.46;84;62;62;-0.04;-0.06;1.0;9;9
2613463.23;1266729.52;261.66;81;61;59;-0.47;0.14;0.87;9;9
2613472.46;1266731.07;263.22;89;66;70;0.52;-0.29;0.8;79;9
2613465.5;1266731.97;262.06;92;72;76;-0.19;-0.08;0.98;72;9
2613464.52;1266729.99;262.1;84;57;53;-0.33;-0.12;0.94;9;9
2613461.69;1266727.2;261.14;66;55;51;-0.8;0.27;0.54;9;9
2613469.58;1266721.18;262.27;85;60;58;0.14;-0.21;0.97;9;9
2613462.68;1266722.02;261.29;85;63;60;-0.15;-0.49;0.86;9;9
2613470.19;1266727.73;263.28;86;65;68;0.48;-0.28;0.83;9;9
2613467.3;1266722.09;262.57;89;61;58;-0.06;-0.42;0.91;9;9
2613470.62;1266732.09;263.77;91;66;70;-0.21;0.09;0.97;79;9
2613470.25;1266722.66;262.27;84;64;63;0.63;0.06;0.78;9;9
