Tree_ID,X,Y,Z,Crown_Diameter_m,height_m
105,2612443.5004651165,1266044.4653488372,283.66,5.23,12.99
106,2612151.5721192053,1266443.8448344371,283.5,6.93,12.67
107,2612388.214468085,1266030.250851064,284.03,5.47,19.26
108,2612973.6073913043,1266155.363478261,283.41,7.65,13.4
109,2612428.087183099,1266054.6685915494,283.54,4.75,18.81
110,2612405.5088118813,1266576.4388118812,283.45,8.02,14.72
111,2612172.0858333334,1266422.6825,283.33,6.18,11.99
112,2612226.695031447,1266418.9536477989,283.35,7.11,12.53
113,2612338.9614285715,1266127.0342857144,283.49,4.22,9.14
114,2612262.8952083336,1266217.60125,283.32,5.53,8.83
115,2612486.466923077,1266005.9084615386,283.22,6.43,9.05
116,2612278.7930612247,1266207.7434693878,283.29,5.59,8.59
117,2612502.745555556,1266149.5922222224,283.16,6.56,11.34
118,2612113.817536232,1266295.185942029,283.97,4.69,10.54
119,2612105.209587629,1266403.301958763,283.44,5.56,11.65
120,2612110.3974626865,1266492.987910448,284.4,4.62,13.99
121,2612534.600144928,1266055.1714492757,284.48,4.69,16.53
122,2612130.401627907,1266418.7444186048,284.23,3.7,12.78
123,2612134.494972376,1266297.890441989,283.07,7.59,9.66
124,2612529.154957265,1266158.6084615386,283.17,6.1,11.99
125,2612248.378372093,1266453.93627907,283.16,5.23,13.04
126,2612249.15146789,1266226.248899083,283.26,5.89,9.43
127,2612395.8573913043,1266090.6352173914,283.77,3.83,9.7
128,2612288.8238842976,1266212.5162809915,283.06,6.21,8.75
129,2612142.675046729,1266439.616728972,283.5,5.84,12.5
130,2612157.934303798,1266446.7598734177,284.0,5.01,13.24
131,2612474.950897436,1266011.3648717948,283.05,7.05,9.17
132,2612214.1847761194,1266573.4468656718,282.99,6.53,13.79
133,2612162.545660377,1266396.4709433962,283.96,5.81,12.05
134,2612117.6922388063,1266461.9020895525,283.43,6.53,12.65
135,2612379.333548387,1266085.3683870968,283.73,4.44,9.56
136,2612454.413076923,1266051.5084615385,284.24,4.55,17.3
137,2612213.2287096777,1266192.110322581,283.11,4.44,8.15
138,2612280.976956522,1266216.9939130435,282.94,5.41,8.6
139,2612206.92125,1266450.97625,282.98,5.97,12.36
140,2613428.660053476,1266673.2919251337,283.11,7.72,27.12
141,2612346.685,1266169.96,283.25,5.64,9.62
142,2612236.786774194,1266429.099032258,282.87,7.02,12.3
143,2612185.1301574805,1266496.2747244094,283.51,6.36,14.14
144,2612118.133362832,1266294.6053982305,283.6,6.0,10.16
145,2612283.7262573102,1266275.6664912282,282.76,7.38,9.43
146,2612221.2439325843,1266531.4969662922,282.75,7.53,13.09
147,2612325.8996153846,1266136.6661538463,283.6,4.07,9.11
148,2612108.0258695656,1266448.276521739,282.75,7.65,11.67
149,2612166.7885849057,1266505.822358491,282.83,8.21,13.67
150,2612263.8473643414,1266227.60875969,282.67,6.41,8.35
151,2612301.086721312,1266152.2421311475,283.02,4.41,8.34
152,2612144.5418987344,1266459.0478481012,282.82,7.09,12.27
153,2612612.877394958,1266118.7338655463,283.09,6.15,19.08
154,2612524.405981736,1266206.859954338,282.62,8.35,12.67
155,2612347.257346939,1266064.1363265307,284.35,5.59,9.51
156,2612253.221125828,1266241.5766225166,282.63,6.93,8.51
157,2612451.7545833336,1266111.887708333,282.82,5.53,10.02
158,2612111.6707017547,1266416.6796491228,282.58,6.02,10.99
159,2612331.2574698795,1266155.7206024097,282.87,5.14,8.6
160,2612295.481666667,1266208.653333333,282.63,6.18,8.2
161,2612596.965842697,1266004.6626966293,282.63,7.53,8.74
162,2612240.521818182,1266230.829090909,282.69,5.92,8.54
163,2612144.478541666,1266414.1116666668,282.73,5.53,10.97
164,2612105.319824561,1266465.07,284.26,4.26,13.5
165,2612519.8162295083,1266202.5126229508,283.03,4.41,12.85
166,2612515.0910869567,1266054.542826087,282.58,5.41,14.32
167,2612627.9583760686,1266067.3435042736,282.78,6.1,13.9
168,2612620.205602837,1266120.389148936,283.32,6.7,19.27
169,2612455.071818182,1266004.1790909092,282.72,5.92,8.61
170,2612425.6871014494,1266116.5989855074,282.49,6.63,9.42
171,2612223.872394366,1266433.5347887324,282.78,6.72,12.03
172,2612181.766865672,1266421.435671642,282.53,6.53,11.4
173,2612514.066855896,1266204.4280786028,282.8,8.54,12.36
174,2612257.707164179,1266230.8647761194,282.47,6.53,8.18
175,2612126.5351612903,1266418.771612903,283.29,4.44,11.84
176,2612210.7256164383,1266172.0083561644,282.86,4.82,7.64
177,2612253.293743316,1266456.4363101604,282.43,7.72,12.3
178,2612420.5844444446,1266038.9264814816,282.63,5.86,15.43
179,2612256.0916129034,1266222.1667741935,282.49,6.28,8.1
180,2612865.617272727,1266029.5323824452,282.46,10.08,12.74
181,2612369.87015873,1266638.1096825397,282.55,6.33,14.14
182,2612372.0823076926,1266091.2315384615,282.96,4.55,8.76
183,2612434.2216326534,1266573.789387755,282.47,5.59,13.83
184,2612204.677671233,1266524.159041096,282.61,6.82,13.21
