Tree_ID,X,Y,Z,Height_m,Crown_Diameter_m
47,2612302.9335409077,1266182.1158913262,280.08991452991336,8.38,7.47
48,2612312.180227658,1266169.9057925856,279.7368634064082,6.6,4.09
49,2612337.38035427,1266175.04640374,279.8494095365431,8.11,7.15
50,2612367.511579401,1266078.79501916,279.7018816517668,7.0,5.92
51,2612370.173088634,1266099.448781162,279.5919390581715,5.82,4.26
52,2612400.0825636475,1266076.357509092,280.5302,3.27,4.92
53,2612391.601914604,1266082.8399724462,280.4866391184571,5.62,4.21
54,2612380.9943867493,1266090.7773410901,280.5129006266784,5.0,5.76
55,2612349.8523648707,1266116.708729729,280.4558648648653,5.25,4.16
56,2612363.3854422597,1266104.110098279,281.28700245700276,5.96,4.37
57,2612389.3929868243,1266129.3317669004,279.6738287514317,8.62,6.36
58,2612423.870484495,1266111.1441925021,279.5904980544744,9.28,12.25
59,2612401.0536167976,1266132.0341152432,279.5133478375523,8.53,9.19
60,2612406.3641219228,1266072.8052249649,280.421030478955,4.67,4.22
61,2612379.1591543774,1266139.4007079632,278.80207964601806,7.47,4.75
62,2612391.9623530693,1266173.554321162,278.57884453284197,9.41,13.34
63,2612436.4243802098,1266211.2432117257,277.3196870065453,9.04,12.03
64,2612531.2300602,1266004.5762252796,279.7452106620807,7.41,4.04
65,2612517.802428889,1266010.9400418387,280.16833100948224,9.23,7.49
66,2612536.2932718056,1266016.3810644138,279.3444605917796,9.5,8.33
67,2612517.337608905,1266023.691277828,279.34057760568055,8.79,5.59
68,2612745.2826057198,1266075.753310948,277.7469545088102,26.07,29.95
69,2612684.9078155593,1266005.1145250702,279.3536835474912,8.72,6.83
70,2612472.1295424267,1266095.2681124855,277.0649189704478,5.59,4.44
71,2612479.534321329,1266098.8832871618,277.8051615881819,6.39,4.23
72,2612513.1106094085,1266080.9524515246,271.1732409972299,5.37,4.14
73,2612524.8988464335,1266081.7841961072,271.32720980533543,8.43,4.51
74,2612487.5467123194,1266103.8566780812,276.81388698630104,4.91,3.77
75,2612499.3086422663,1266109.0905903152,276.7618929555284,6.19,6.23
76,2612484.460139341,1266132.892459495,278.6682874270925,9.3,7.03
77,2612511.5479166587,1266115.0539670163,276.11479166666635,5.87,4.33
78,2612519.0071447603,1266119.090563002,277.0260053619301,5.3,3.89
79,2612526.773738816,1266122.2893649314,276.21452593917724,5.9,4.36
80,2612534.7898400626,1266082.8065656596,270.8732407407407,7.58,4.36
81,2612544.3885036986,1266084.3270600615,270.4399789251851,6.2,4.26
82,2612554.8467262555,1266084.9421899454,271.1550949720668,5.31,4.37
83,2612564.9561705594,1266085.9285679804,272.42713596138407,7.2,4.66
84,2612575.5910367505,1266086.715091864,272.98073490813704,5.39,4.12
85,2612587.1290058484,1266088.2806798266,273.2364400584791,6.53,4.77
86,2612534.9337473717,1266126.61043158,275.79461052631586,5.66,4.15
87,2612546.7718589767,1266132.1285355093,275.99740138067085,5.97,6.32
88,2612491.092814686,1266143.844257805,278.1609960937504,8.24,6.97
89,2612505.7363064615,1266157.2058104347,277.9213460642748,9.39,9.97
90,2612509.502841696,1266170.7911897772,277.01687315634234,8.66,4.71
91,2612518.501411393,1266176.570297475,276.7506962025316,7.61,4.62
92,2612531.241779502,1266182.5005646881,277.3207062638416,9.71,9.92
93,2612560.45926745,1266137.3533488363,274.92110465116286,4.92,3.91
94,2612569.0058732177,1266141.6466626788,275.39150717703365,5.9,3.83
95,2612580.370705031,1266143.87768825,275.83891606714616,8.1,5.18
96,2612595.0429592077,1266148.0413305205,275.41320956399477,7.76,6.32
97,2612585.565066218,1266149.7251876392,275.34984547461346,6.33,4.01
