Tree_ID,X,Y,Z,Tree_Height_m,Crown_Height_m,Crown_Diameter_m,Trunk_Height_m,Trunk_Diameter_m,Crown_R,Crown_G,Crown_B,Trunk_R,Trunk_G,Trunk_B
3410,2613030.1025,1266987.3575000002,266.1799999976158,0.31,0.20666668,3.57,0.10333334,0.595,42.0,49.0,46.0,139.0,69.0,19.0
3411,2612638.9614285715,1266065.427142857,269.29000034332273,12.11,8.073334,2.99,4.036667,0.49833333333333335,42.0,49.0,46.0,139.0,69.0,19.0
3412,2612598.6313793105,1266263.2768965515,268.4499999046326,7.9,5.266667,3.04,2.6333334,0.5066666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3413,2612288.25,1266469.91,269.4300003051758,9.32,6.213333,2.82,3.1066666,0.47,42.0,49.0,46.0,139.0,69.0,19.0
3414,2612963.502903226,1266976.0458064517,-inf,inf,inf,6.28,inf,1.0466666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3415,2613032.806666666,1266994.1429166668,-inf,inf,inf,3.91,inf,0.6516666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3416,2613088.259047619,1266938.8080952382,266.02000000715253,0.82,0.5466667,3.66,0.27333334,0.61,42.0,49.0,46.0,139.0,69.0,19.0
3417,2613109.336601942,1266908.2787378642,-inf,inf,inf,5.73,inf,0.9550000000000001,42.0,49.0,46.0,139.0,69.0,19.0
3418,2613474.578118812,1266274.1492079208,259.8500002288818,4.24,2.8266666,5.67,1.4133333,0.945,42.0,49.0,46.0,139.0,69.0,19.0
3419,2613076.98375,1266275.741875,269.00999984741213,6.84,4.5600004,3.19,2.2800002,0.5316666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3420,2613485.471818182,1266404.1881818182,263.120000038147,1.29,0.86,4.18,0.43,0.6966666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3421,2612575.7520689657,1266649.9320689656,268.26,9.25,6.166667,3.04,3.0833335,0.5066666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3422,2613429.824782609,1266308.6569565218,263.229999961853,7.21,4.806667,2.71,2.4033334,0.45166666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3423,2612624.6136842105,1266592.0042105264,268.6099998474121,9.34,6.226667,3.48,3.1133335,0.58,42.0,49.0,46.0,139.0,69.0,19.0
3424,2613124.69,1266724.52,266.00999977111815,10.76,7.1733336,2.52,3.5866668,0.42,42.0,49.0,46.0,139.0,69.0,19.0
3425,2612982.1621518987,1266944.1332911393,-inf,inf,inf,5.01,inf,0.835,42.0,49.0,46.0,139.0,69.0,19.0
3426,2613469.595479452,1266286.261780822,259.74999990463255,5.65,3.766667,4.82,1.8833334,0.8033333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3427,2613476.9002040816,1266358.5802040815,261.52000017166137,4.18,2.7866666,3.95,1.3933333,0.6583333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3428,2612928.4002040816,1266934.3557142855,265.630000038147,1.79,1.1933334,3.95,0.5966667,0.6583333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3429,2613275.14,1266859.9985714287,262.52999979019165,5.03,3.3533335,3.66,1.6766667,0.61,42.0,49.0,46.0,139.0,69.0,19.0
3430,2613040.467777778,1266990.5255555557,-inf,inf,inf,3.78,inf,0.6299999999999999,42.0,49.0,46.0,139.0,69.0,19.0
3431,2613192.39,1266875.6033333335,266.12000000715256,0.82,0.5466667,3.78,0.27333334,0.6299999999999999,42.0,49.0,46.0,139.0,69.0,19.0
3432,2613158.5983333336,1266690.903333333,266.23999973297117,11.22,7.4800005,2.76,3.7400002,0.45999999999999996,42.0,49.0,46.0,139.0,69.0,19.0
3433,2612894.934117648,1266983.5994117649,264.49999999046327,2.74,1.8266667,3.29,0.91333336,0.5483333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3434,2613487.51195122,1266283.0852439024,259.2899998664856,4.11,2.7400002,7.23,1.3700001,1.205,42.0,49.0,46.0,139.0,69.0,19.0
3435,2613247.070555556,1266582.0144444446,267.23,4.75,3.1666667,3.39,1.5833334,0.565,42.0,49.0,46.0,139.0,69.0,19.0
3436,2613131.8163157897,1266914.527894737,-inf,inf,inf,5.5,inf,0.9166666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3437,2612151.486153846,1266471.7623076923,270.3500001525879,11.91,7.94,2.88,3.97,0.48,42.0,49.0,46.0,139.0,69.0,19.0
3438,2613282.045555556,1266856.403333333,261.0600002098083,6.22,4.1466665,3.78,2.0733333,0.6299999999999999,42.0,49.0,46.0,139.0,69.0,19.0
3439,2613037.177234043,1266992.2827659575,-inf,inf,inf,3.87,inf,0.645,42.0,49.0,46.0,139.0,69.0,19.0
3440,2613484.73,1266400.88,262.9500000667572,2.07,1.38,3.99,0.69,0.665,42.0,49.0,46.0,139.0,69.0,19.0
3441,2612268.162727273,1266497.0472727274,269.30999990463255,7.9,5.266667,2.65,2.6333334,0.44166666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3442,2613491.5094690267,1266296.2248672566,259.5200000858307,3.84,2.56,6.0,1.28,1.0,42.0,49.0,46.0,139.0,69.0,19.0
3443,2613055.39,1266982.1797560975,-inf,inf,inf,3.61,inf,0.6016666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3444,2613078.954516129,1266943.1829032258,266.05000000357626,0.16,0.10666667,3.14,0.053333335,0.5233333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3445,2613005.753636364,1266904.857878788,265.9599999713898,1.72,1.1466668,3.24,0.5733334,0.54,42.0,49.0,46.0,139.0,69.0,19.0
3446,2612307.14,1266149.32,274.6999997329712,8.97,5.9800005,2.65,2.9900002,0.44166666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3447,2612937.166595745,1266931.5168085108,265.47000001192094,0.95,0.6333333,3.87,0.31666666,0.645,42.0,49.0,46.0,139.0,69.0,19.0
3448,2613475.0955555555,1266304.0311111112,259.8599999809265,4.98,3.3200002,5.35,1.6600001,0.8916666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3449,2612929.583548387,1266923.1829032258,265.4300003433228,8.36,5.5733333,3.14,2.7866666,0.5233333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3450,2612932.871481481,1266923.921851852,265.40999961853026,8.6,5.7333336,2.93,2.8666668,0.48833333333333334,42.0,49.0,46.0,139.0,69.0,19.0
3451,2612275.65,1266418.11,270.67999998092654,5.23,3.4866667,2.82,1.7433333,0.47,42.0,49.0,46.0,139.0,69.0,19.0
3452,2613454.586969697,1266299.7821212122,260.73000007629395,4.33,2.8866668,3.24,1.4433334,0.54,42.0,49.0,46.0,139.0,69.0,19.0
3453,2613103.867272727,1266864.4790909092,265.80999973297116,10.22,6.8133335,2.65,3.4066668,0.44166666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3454,2612886.485744681,1266986.825319149,265.4499999046326,3.15,2.1000001,3.87,1.0500001,0.645,42.0,49.0,46.0,139.0,69.0,19.0
3455,2613085.2025,1266941.184583333,265.99999999284745,0.68,0.45333335,3.91,0.22666667,0.6516666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3456,2613370.2150000003,1266649.82,256.4900004577637,17.98,11.986667,2.52,5.9933333,0.42,42.0,49.0,46.0,139.0,69.0,19.0
3457,2613082.5124489795,1266862.8659183674,265.9200004196167,9.19,6.1266665,3.95,3.0633333,0.6583333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3458,2613489.420120482,1266301.1181927712,259.3800000667572,3.57,2.38,5.14,1.19,0.8566666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3459,2612699.45,1266046.31,270.94999954223636,10.52,7.013334,2.82,3.506667,0.47,42.0,49.0,46.0,139.0,69.0,19.0
3460,2613454.620769231,1266302.2046153846,260.85,5.0,3.3333335,2.88,1.6666667,0.48,42.0,49.0,46.0,139.0,69.0,19.0
3461,2613069.2025,1266968.895,-inf,inf,inf,3.57,inf,0.595,42.0,49.0,46.0,139.0,69.0,19.0
3462,2613072.015,1266888.554375,265.5600000667572,2.07,1.38,3.19,0.69,0.5316666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3463,2612240.14,1266462.82,269.99999992370607,11.42,7.6133337,2.99,3.8066669,0.49833333333333335,42.0,49.0,46.0,139.0,69.0,19.0
3464,2612982.983023256,1266894.68627907,266.59999992370604,4.67,3.1133335,3.7,1.5566667,0.6166666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3465,2613482.3042857144,1266392.427142857,262.67000000953675,3.01,2.0066667,3.34,1.0033333,0.5566666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3466,2612932.8529629637,1266988.5638271605,-inf,inf,inf,5.08,inf,0.8466666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3467,2613332.39,1266364.2051351352,269.2299999332428,3.18,2.1200001,3.43,1.0600001,0.5716666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3468,2613460.130740741,1266386.1903703704,263.57999995231626,3.2,2.1333334,4.15,1.0666667,0.6916666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3469,2613236.959767442,1266884.773488372,-inf,inf,inf,5.23,inf,0.8716666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3470,2613375.73375,1266822.559583333,257.68999977111815,8.01,5.34,3.91,2.67,0.6516666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3471,2612171.976206897,1266453.518275862,270.5200002288818,10.24,6.826667,3.04,3.4133334,0.5066666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3472,2612197.933478261,1266474.2873913045,270.20999954223635,12.52,8.346667,2.71,4.1733336,0.45166666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3473,2613242.0831818185,1266884.5472727274,-inf,inf,inf,5.29,inf,0.8816666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3474,2613464.43,1266386.05,263.24999998092653,3.23,2.1533334,2.82,1.0766667,0.47,42.0,49.0,46.0,139.0,69.0,19.0
3475,2613469.5300000003,1266186.03,261.65000045776367,12.48,8.32,2.82,4.16,0.47,42.0,49.0,46.0,139.0,69.0,19.0
3476,2612170.31,1266482.53,270.1800003051758,11.57,7.713333,2.82,3.8566666,0.47,42.0,49.0,46.0,139.0,69.0,19.0
3477,2612201.0512903226,1266433.8925806452,270.5600004577637,10.48,6.9866667,3.14,3.4933333,0.5233333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3478,2613196.615,1266874.07,266.03999997615813,0.6,0.40000004,3.57,0.20000002,0.595,42.0,49.0,46.0,139.0,69.0,19.0
3479,2612135.931666666,1266448.945,270.8400001525879,10.66,7.1066666,2.76,3.5533333,0.45999999999999996,42.0,49.0,46.0,139.0,69.0,19.0
3480,2613090.3998039216,1266935.0307843138,-inf,inf,inf,4.03,inf,0.6716666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3481,2612563.801764706,1266954.6582352945,261.67000019073487,8.2,5.4666667,3.29,2.7333333,0.5483333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3482,2613480.0512903226,1266594.2635483872,257.0299998474121,16.84,11.226667,3.14,5.6133337,0.5233333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3483,2612918.6690697675,1266979.4653488372,265.57000000476836,1.88,1.2533333,3.7,0.62666667,0.6166666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3484,2612162.0263636364,1266502.82,269.82999977111814,10.51,7.006667,2.65,3.5033336,0.44166666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3485,2612954.1641935487,1266909.0377419356,265.8099998474121,5.84,3.8933334,3.14,1.9466667,0.5233333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3486,2613110.9975949368,1266917.2535443038,-inf,inf,inf,5.01,inf,0.835,42.0,49.0,46.0,139.0,69.0,19.0
3487,2613484.5004651165,1266297.8955813954,259.4999999332428,2.68,1.7866668,5.23,0.8933334,0.8716666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3488,2612293.3042857144,1266445.6842857143,269.7999998855591,3.88,2.5866668,3.34,1.2933334,0.5566666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3489,2613479.2571875,1266801.335625,250.84999996185303,12.96,8.64,4.51,4.32,0.7516666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3490,2613094.623333333,1266943.1144444444,-inf,inf,inf,3.78,inf,0.6299999999999999,42.0,49.0,46.0,139.0,69.0,19.0
3491,2613132.8382758624,1266871.9493103449,265.70000022888183,8.99,5.9933333,3.04,2.9966667,0.5066666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3492,2613071.860588236,1266856.9523529413,266.0700000762939,10.33,6.886667,2.33,3.4433334,0.3883333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3493,2612244.47,1266470.33,269.91999961853026,10.35,6.9000006,2.82,3.4500003,0.47,42.0,49.0,46.0,139.0,69.0,19.0
3494,2612235.433478261,1266484.3526086956,269.8100003814697,10.4,6.9333334,2.71,3.4666667,0.45166666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3495,2613486.92,1266319.35,259.8,4.0,2.6666667,3.99,1.3333334,0.665,42.0,49.0,46.0,139.0,69.0,19.0
3496,2613272.49,1266863.2,262.3200001144409,2.87,1.9133333,3.99,0.95666665,0.665,42.0,49.0,46.0,139.0,69.0,19.0
