X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613497.59;1266957.88;268.62;86;65;65;-0.22;-0.14;0.97;61;20
2613495.99;1266965.15;269.97;74;55;58;-0.2;0.1;0.97;45;20
2613500.11;1266962.2;269.89;81;65;71;-0.24;0.23;0.94;45;20
2613500.23;1266965.2;268.85;75;59;60;0.15;0.64;0.76;45;20
2613496.91;1266964.23;269.99;78;58;59;0.13;0.01;0.99;45;20
2613495.19;1266959.31;268.19;85;63;60;-0.16;-0.14;0.98;61;20
2613499.5;1266962.38;270.09;74;54;57;0.34;0.61;0.72;45;20
2613498.57;1266965.92;269.19;67;49;47;0.2;0.58;0.79;45;20
2613499.37;1266965.45;268.74;83;67;78;0.07;0.69;0.72;45;20
2613500.3;1266953.35;267.86;78;64;60;-0.55;-0.77;0.33;61;20
2613496.04;1266968.11;268.43;75;56;58;-0.54;0.27;0.8;45;20
2613493.26;1266967.1;267.42;62;48;44;-0.44;0.49;0.75;45;20
2613492.28;1266966.05;267.44;59;47;43;-0.64;0.48;0.6;45;20
2613494.38;1266963.25;268.24;91;67;64;-0.17;-0.08;0.98;45;20
2613496.91;1266963.34;268.97;80;61;63;-0.66;0.62;0.42;45;20
2613495.43;1266957.61;267.57;97;83;81;-0.69;-0.7;-0.18;61;20
2613498.02;1266961.7;269.94;96;69;60;-0.65;-0.55;0.52;45;20
2613500.18;1266958.34;269.49;82;58;55;-0.76;0.08;0.65;61;20
2613498.45;1266960.03;268.83;89;67;66;-0.26;0.25;0.93;61;20
2613497.09;1266961.63;268.77;99;76;72;-0.91;-0.07;0.41;45;20
2613497.83;1266966.23;269.15;68;51;52;0.44;0.49;0.76;45;20
2613491.67;1266961.24;267.55;87;73;70;-0.69;-0.72;-0.0;45;20
2613496.42;1266964.71;270.14;77;61;66;0.19;0.35;0.92;45;20
2613497.34;1266966.72;269.17;69;51;53;0.29;0.29;0.91;45;20
2613495.8;1266964.29;269.88;81;60;59;-0.55;-0.72;0.43;45;20
2613497.15;1266968.66;268.63;58;39;27;-0.19;0.19;0.96;45;20
2613496.23;1266960.29;268.35;87;61;57;0.08;-0.1;0.99;61;20
2613497.16;1266964.67;269.76;74;55;55;0.19;-0.17;0.97;45;20
2613499.5;1266956.4;268.67;87;64;64;-0.23;-0.28;0.93;61;20
2613497.59;1266956.59;268.38;82;63;61;-0.2;-0.05;0.98;61;20
2613492.96;1266965.71;268.22;63;44;37;-0.54;0.67;0.51;45;20
2613495.31;1266959.31;268.26;85;62;61;-0.11;-0.04;0.99;61;20
