X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613488.74;1266911.92;256.53;75;57;58;-0.01;0.61;0.79;44;-1
2613486.7;1266914.11;255.7;72;67;67;0.22;0.25;0.94;44;-1
2613488.49;1266911.73;256.71;78;58;60;0.12;0.22;0.97;44;-1
2613487.51;1266910.5;256.6;80;53;48;0.1;-0.6;0.79;44;-1
2613487.45;1266912.84;256.51;76;61;60;-0.16;0.72;0.68;44;-1
2613487.45;1266910.32;256.34;82;54;47;-0.34;-0.31;0.89;44;-1
2613485.9;1266913.12;255.67;61;49;47;-0.98;0.13;0.17;44;-1
2613488.43;1266910.74;256.67;81;55;50;-0.03;-0.43;0.9;44;-1
2613487.44;1266913.42;255.86;77;59;62;-0.0;0.49;0.87;44;-1
2613488.49;1266908.45;255.58;80;67;63;0.1;-0.53;0.84;44;-1
2613488.98;1266914.25;255.27;60;48;49;-0.15;0.77;0.63;44;-1
2613488.05;1266914.25;255.27;61;48;48;-0.04;0.77;0.64;44;-1
2613487.69;1266912.86;256.14;78;54;51;-0.28;0.8;0.53;44;-1
2613487.75;1266909.0;255.55;75;55;46;0.15;-0.16;0.98;44;-1
2613486.02;1266914.56;255.23;64;64;68;-0.31;-0.32;0.9;44;-1
2613488.06;1266910.64;256.17;72;48;44;-0.43;-0.88;0.2;44;-1
2613488.74;1266910.5;256.53;81;53;47;0.0;-0.28;0.96;44;-1
2613486.45;1266914.36;255.41;60;48;50;-0.05;0.67;0.74;44;-1
2613487.44;1266914.56;255.1;66;58;61;0.08;0.96;0.28;44;-1
2613488.25;1266910.5;256.59;78;53;46;-0.07;-0.6;0.8;44;-1
2613486.09;1266909.24;255.63;66;50;46;-0.89;-0.22;0.41;44;-1
2613488.0;1266908.75;255.6;83;71;69;-0.01;-0.56;0.83;44;-1
2613485.9;1266913.62;255.44;60;52;50;-0.93;0.12;0.34;44;-1
2613486.95;1266914.18;255.46;70;58;60;0.19;0.72;0.67;44;-1
2613487.51;1266907.85;255.01;71;56;51;0.0;-0.99;-0.17;44;-1
2613488.49;1266907.8;254.94;74;60;55;-0.03;-0.96;-0.28;44;-1
2613486.89;1266909.73;255.89;80;54;48;-0.67;-0.63;0.39;44;-1
2613487.01;1266913.68;255.68;78;60;63;0.12;0.44;0.89;44;-1
2613486.59;1266909.48;255.94;84;56;50;0.41;-0.02;0.91;44;-1
2613486.27;1266914.5;255.17;61;55;58;-0.46;0.73;0.51;44;-1
2613486.03;1266909.48;255.95;72;55;52;-0.75;-0.34;0.56;44;-1
2613486.03;1266909.66;255.95;72;54;51;-0.62;-0.48;0.63;44;-1
2613488.43;1266910.32;256.52;77;52;46;-0.09;-0.61;0.79;44;-1
2613486.03;1266911.72;256.84;68;54;57;-0.51;0.1;0.85;44;-1
2613486.02;1266913.62;255.62;59;50;50;-0.69;0.3;0.66;44;-1
2613485.84;1266912.69;255.65;71;65;62;-0.99;0.05;0.13;44;-1
2613488.06;1266909.61;255.63;81;55;46;-0.06;-0.71;0.7;44;-1
2613488.25;1266907.89;255.5;72;52;46;-0.2;-0.95;0.24;44;-1
2613487.14;1266910.53;255.92;70;47;43;-0.4;-0.25;0.88;44;-1
2613486.03;1266912.92;256.09;59;47;46;-0.57;0.34;0.75;44;-1
2613488.0;1266910.69;256.54;77;53;48;-0.21;-0.74;0.64;44;-1
2613488.8;1266912.83;255.46;84;73;89;0.62;0.25;0.74;44;-1
2613486.96;1266909.59;256.25;80;54;47;-0.95;-0.28;0.1;44;-1
2613488.0;1266909.79;255.95;76;53;47;-0.07;-0.78;0.62;44;-1
2613488.12;1266907.79;255.0;68;52;46;-0.02;-0.99;-0.15;44;-1
2613488.99;1266907.79;255.06;76;61;54;-0.02;-0.99;-0.12;44;-1
2613486.28;1266912.6;256.38;72;59;64;-0.39;0.47;0.79;44;-1
2613486.15;1266913.68;255.69;67;57;58;-0.23;0.47;0.86;44;-1
2613486.34;1266907.97;255.14;73;57;52;-0.34;-0.93;-0.15;44;-1
2613488.36;1266913.99;255.69;77;61;62;-0.2;0.81;0.56;44;-1
2613486.52;1266910.15;256.03;72;51;44;0.46;-0.41;0.78;44;-1
2613487.51;1266912.22;256.73;74;52;48;0.38;0.47;0.8;44;-1
2613488.12;1266909.91;255.95;78;55;47;-0.13;-0.72;0.68;44;-1
2613487.82;1266907.96;255.51;68;47;42;0.01;-0.77;0.63;44;-1
2613488.92;1266913.44;255.42;87;71;81;0.31;-0.31;0.9;44;-1
2613486.59;1266910.43;256.72;77;58;56;0.19;-0.41;0.89;44;-1
2613487.19;1266913.62;255.68;79;63;68;0.08;0.39;0.92;44;-1
2613486.39;1266913.86;255.63;75;64;69;-0.16;0.46;0.88;44;-1
2613487.02;1266910.56;256.66;79;53;48;0.09;-0.74;0.66;44;-1
2613488.86;1266907.79;255.19;61;44;42;-0.06;-0.98;-0.18;44;-1
2613487.14;1266912.92;256.21;74;55;54;-0.23;0.7;0.68;44;-1
2613486.28;1266909.83;256.21;81;57;52;-0.06;-0.48;0.88;44;-1
2613488.25;1266910.26;256.46;76;53;46;-0.02;-0.66;0.75;44;-1
2613488.93;1266910.27;256.27;82;53;46;-0.75;0.03;0.66;44;-1
2613485.84;1266912.88;255.66;69;62;58;-0.99;0.01;0.11;44;-1
2613488.42;1266914.38;255.15;62;52;54;0.04;0.75;0.66;44;-1
2613486.03;1266908.94;255.43;65;51;49;-0.79;-0.28;0.55;44;-1
2613488.49;1266909.25;255.49;72;47;41;0.18;0.02;0.98;44;-1
2613488.43;1266908.38;255.64;81;70;67;0.05;-0.64;0.77;44;-1
2613487.57;1266909.06;255.55;68;45;39;0.16;-0.06;0.98;44;-1
2613487.02;1266910.21;255.97;70;47;41;-0.36;-0.08;0.93;44;-1
2613488.18;1266914.11;255.57;77;61;62;-0.2;0.7;0.68;44;-1
2613486.16;1266911.97;256.73;69;56;64;-0.56;0.58;0.59;44;-1
2613488.0;1266909.67;255.76;79;54;47;0.01;-0.75;0.66;44;-1
2613487.69;1266913.37;255.73;82;64;67;-0.0;0.4;0.92;44;-1
2613486.77;1266910.43;256.66;77;55;53;0.21;-0.48;0.85;44;-1
2613487.27;1266910.98;256.93;84;60;58;0.06;-0.35;0.93;44;-1
2613488.86;1266913.38;255.42;87;71;81;0.45;-0.32;0.83;44;-1
2613487.62;1266914.5;255.16;60;46;46;0.03;0.8;0.6;44;-1
2613488.68;1266909.67;255.76;72;49;42;-0.14;-0.52;0.84;44;-1
2613487.2;1266913.17;255.91;73;53;49;-0.31;0.39;0.87;44;-1
2613487.08;1266909.56;255.51;78;57;46;-0.0;-0.25;0.97;44;-1
2613485.97;1266911.18;256.45;58;47;44;-0.96;-0.02;0.26;44;-1
2613486.02;1266913.8;255.57;59;52;54;-0.76;0.3;0.57;44;-1
