Tree_ID,E,N,Height_m,Crown_Diameter_m
304,2612735.3047008547,1266046.0842735043,281.72,6.1
305,2612259.6651898734,1266234.6875949367,281.7,5.01
306,2612637.829310345,1266013.2811494253,281.7,5.26
307,2612114.5203125,1266267.2753125,281.69,4.51
308,2612165.6635416667,1266429.5070833333,281.69,5.53
309,2612262.9535714285,1266379.7157142858,281.69,6.68
310,2612194.832183908,1266386.789770115,281.68,7.44
311,2612915.2292207796,1266224.7423376625,281.68,4.95
312,2612690.169354839,1266035.4541935485,281.67,7.02
313,2612969.190740741,1266310.605925926,281.67,6.56
314,2612117.6924242424,1266538.1345454545,281.66,7.25
315,2612702.714044944,1266014.1811235957,281.98,7.53
316,2612653.0728070177,1266003.9440350877,281.65,6.02
317,2612816.576984127,1266092.8921693123,281.62,7.76
318,2613027.363043478,1266298.7249275362,281.62,6.63
319,2612872.142857143,1266182.4942857143,281.61,4.72
320,2612463.1330985916,1266687.065915493,281.6,6.72
321,2612502.173484849,1266161.1936363636,281.6,6.48
322,2613013.5241935486,1266177.0251612903,281.6,7.02
323,2612359.140839695,1266337.4845801527,281.57,6.46
324,2612385.061111111,1266145.6434920635,281.55,4.48
325,2613023.789181287,1266180.8256140351,281.55,7.38
326,2612369.967857143,1266099.1692857144,281.54,4.22
327,2612270.8330645165,1266376.6767741935,281.53,6.28
328,2612689.333248731,1266094.7094416243,281.52,7.92
329,2612182.2675675675,1266381.5462162164,281.51,4.85
330,2612222.1662162165,1266250.7827027028,281.51,4.85
331,2613039.775342466,1266216.6930136988,281.51,6.82
332,2612122.0392857143,1266276.3925,281.5,4.22
333,2612728.7286885246,1266023.3750819673,281.5,4.41
334,2612895.8151685395,1266052.7204494383,281.5,7.53
335,2612181.7572916667,1266440.3664583333,281.49,5.53
336,2612703.931395349,1266072.549767442,281.49,8.27
337,2612907.05472973,1266075.025945946,281.49,6.86
338,2612334.864473684,1266320.132631579,281.48,4.92
339,2612320.2851063833,1266319.2927659575,281.47,5.47
340,2612389.6166666667,1266151.4907142858,281.47,5.17
341,2612754.6639303486,1266044.7441791045,281.47,8.0
342,2613017.26865285,1266184.4426943006,281.47,7.84
343,2612488.8574074074,1266146.4349382718,281.45,7.18
344,2612817.578654971,1266052.3811695906,281.44,7.38
345,2612175.526666667,1266398.96,281.43,6.91
346,2612197.172222222,1266397.1969590643,281.42,7.38
347,2612133.9904411766,1266428.5873529413,281.41,6.58
348,2612493.9152173917,1266139.7408695654,281.41,6.05
349,2612966.8217105265,1266270.987894737,281.4,6.96
350,2613337.229661017,1266202.7184180792,281.39,7.51
351,2612794.285443038,1266109.8347468355,281.38,10.03
352,2612873.5377192986,1266057.0449122807,281.38,7.38
353,2612222.81,1266258.61,281.37,3.99
354,2612142.502631579,1266277.9659649124,281.36,4.26
355,2612707.651030928,1266059.1573195877,281.35,5.56
356,2612832.875595238,1266063.7675,281.38,7.31
357,2612930.3475,1266264.5175,281.34,7.98
358,2612370.1054054056,1266347.0056756758,281.33,4.85
359,2612526.0712121213,1266170.58,281.33,7.25
360,2612930.187569061,1266310.0330386742,281.33,7.59
361,2612129.8903973512,1266543.4541721854,281.32,6.93
362,2612400.434375,1266165.20890625,281.32,6.38
363,2612739.5952991457,1266055.1398290598,281.31,8.63
364,2612759.841304348,1266046.971304348,281.31,3.83
365,2612172.690601504,1266383.125112782,281.3,6.51
366,2612699.9129629633,1266038.0367901234,281.3,7.18
367,2612108.274427481,1266428.5189312978,281.29,6.46
368,2612935.0235294118,1266256.0554901962,281.29,8.06
