Tree_ID,X,Y,Height_m,Crown_Diameter_m
108,2612210.3248070837,1266078.3121191713,285.85,2.03
109,2612156.346523093,1266685.2913581885,284.74,5.94
110,2612994.3513404992,1267070.119741396,285.2,5.22
111,2612922.997777169,1267152.534448231,284.76,5.01
112,2612107.5942531223,1266647.3768197072,284.66,5.66
113,2612264.53116444,1266142.1599066993,284.66,4.05
114,2612199.582754493,1266213.6966364398,285.09,2.79
115,2612246.681764097,1266096.8635331986,285.04,2.6
116,2612187.5530502386,1266155.0069529393,284.56,5.73
117,2612273.316688133,1266132.5462951774,284.98,3.47
118,2612298.349761296,1266101.4334561678,285.11,2.59
119,2612175.81404701,1266143.1923847392,285.73,1.83
120,2612264.8530876264,1266011.4936802574,285.17,2.33
121,2612212.368076314,1266132.4563499405,285.43,2.03
122,2612295.629658482,1266103.4275037867,285.06,2.65
123,2612244.242499391,1266100.3125037868,285.14,2.82
124,2612133.1785601852,1266622.0197804617,284.54,5.66
125,2612246.0029262207,1266100.5509793966,285.14,1.81
126,2612340.222924923,1266177.2439931484,284.76,3.87
127,2612337.8319041533,1266176.5947656916,284.64,2.89
128,2612304.6213441347,1266021.161152931,284.49,5.71
129,2612240.4380549467,1266149.4108371201,284.77,3.78
130,2612203.9943414964,1266075.601845892,285.23,2.46
131,2612242.4337288993,1266151.8568070654,284.87,4.41
132,2612303.9742049985,1266138.0554243475,284.49,2.92
133,2612142.4315765724,1266603.6603058001,284.59,4.87
134,2612303.125999391,1266136.4340037866,284.59,3.15
135,2612832.41570601,1267143.624171944,284.38,6.67
136,2612107.0216800636,1266636.0173147111,284.73,3.08
137,2612212.507499391,1266134.54208712,285.61,1.38
138,2612280.048260261,1266126.4791342216,284.59,1.35
139,2612109.958157286,1266683.8620798101,284.49,5.22
140,2612131.9316346115,1266662.6437773716,284.36,7.95
141,2612149.829201845,1266622.5268136028,284.47,5.09
142,2612264.905525707,1266013.20710905,284.78,1.74
