Tree_ID,E,N,Height_m,Crown_Diameter_m
85,2612177.8979220777,1266233.9064935064,283.54,4.95
86,2612278.8074999996,1266169.4,283.49,5.05
87,2612905.9347959184,1266217.744387755,283.45,7.9
88,2612665.8738461537,1266002.3269230768,283.44,6.43
89,2612318.4249723754,1266624.9248618784,283.41,7.59
90,2612267.1520413435,1266369.857364341,283.32,11.1
91,2612391.5519587626,1266127.0288659793,283.29,5.56
92,2612339.128962264,1266177.3716981132,283.27,8.21
93,2612156.9360714285,1266202.944642857,283.24,7.31
94,2612109.8085496183,1266275.8389312977,283.22,6.46
95,2612260.269275362,1266184.552173913,283.2,4.69
96,2612323.02,1266306.3869565215,283.17,6.05
97,2612310.354090909,1266287.4795454545,283.16,6.48
98,2612369.510140845,1266079.914084507,283.07,4.75
99,2612517.274285714,1266023.5942857142,283.07,7.46
100,2612398.1824999996,1266134.2583333333,283.06,6.18
101,2612119.8167532464,1266268.6824675323,283.05,7.0
102,2612269.6718518515,1266177.085185185,283.05,4.15
103,2612386.1066894196,1266296.5058020477,283.03,9.66
104,2612313.855087719,1266143.0403508772,283.02,4.26
105,2612298.8937704917,1266153.9409836065,283.01,4.41
106,2612363.313150685,1266103.708219178,283.01,4.82
107,2612901.976028369,1266080.4177304963,282.99,6.7
108,2612192.0933333333,1266222.2266666666,282.96,4.89
109,2612228.8699999996,1266193.775,282.96,4.37
110,2612404.3363043475,1266128.5956521737,282.94,5.41
111,2612308.6644444442,1266091.8166666667,282.91,5.35
112,2612318.82,1266164.6894736842,282.87,4.92
113,2612103.02,1266167.3666666665,282.86,5.35
114,2612674.5107894735,1266001.3605263156,282.85,4.92
115,2612257.739191919,1266250.9454545453,282.82,5.61
116,2612250.5276923077,1266193.0076923077,282.81,4.55
117,2612334.4376470586,1266170.9411764706,282.79,5.2
118,2612531.162105263,1266004.250877193,282.79,4.26
119,2612341.4912328767,1266078.2835616437,282.78,4.82
120,2612486.323012048,1266130.5686746987,282.76,7.27
121,2612679.4628571426,1266030.4238095237,282.73,5.78
122,2612335.1246875,1266126.36875,282.7,4.51
123,2612481.4252631576,1266135.699342105,282.69,6.96
124,2612305.5458064512,1266175.6741935483,282.66,4.44
125,2612108.1188826812,1266354.9530726257,282.63,7.55
126,2612156.0913414634,1266227.4975609756,282.63,7.23
127,2612392.79368421,1266138.8736842105,282.63,6.02
128,2612390.223153153,1266302.9585585585,282.62,8.41
129,2612326.408235294,1266087.076470588,282.61,4.03
130,2612177.6606593407,1266296.2516483516,282.58,5.38
131,2612683.3125925926,1266006.8333333333,282.58,6.56
132,2612114.66375,1266298.2062499998,282.55,5.05
133,2612992.074237288,1266191.3378531071,282.55,7.51
134,2612410.7002083333,1266123.2541666667,282.54,5.53
135,2612391.590491803,1266082.662295082,282.53,4.41
136,2612264.53484375,1266232.21640625,282.49,6.38
137,2612902.2439130433,1266238.2967391303,282.47,5.41
138,2612142.8089589905,1266547.4078864353,282.46,10.05
139,2612311.8590625,1266169.665625,282.4,4.51
140,2612319.76,1266138.43,282.37,3.99
141,2612386.5814678897,1266131.2302752293,282.36,5.89
142,2612689.287391304,1266003.0195652172,282.35,5.41
143,2612117.17,1266425.1312499999,282.34,7.14
144,2612150.8623728813,1266271.0694915254,282.31,4.33
145,2612959.4085714286,1266298.3657142855,282.31,7.46
146,2612300.2379104476,1266598.4174129353,282.29,8.0
147,2613135.825988024,1266164.7592814371,282.27,7.29
