Tree_ID,X,Y,Z,Tree_Height_m,Crown_Height_m,Crown_Diameter_m,Trunk_Height_m,Trunk_Diameter_m,Crown_R,Crown_G,Crown_B,Trunk_R,Trunk_G,Trunk_B
3102.0,2612642.9633333334,1266979.609761905,258.6800003433228,9.36,6.24,5.17,3.12,0.8616666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3103.0,2613485.5931578944,1266187.2063157896,260.31000019073485,7.7,5.133333,5.5,2.5666666,0.9166666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3104.0,2613469.05733564,1266626.4485121109,256.94999980926514,11.05,7.366667,9.59,3.6833334,1.5983333333333332,42.0,49.0,46.0,139.0,69.0,19.0
3105.0,2613379.788163265,1266614.9320408164,256.96999954223634,11.02,7.3466673,5.59,3.6733336,0.9316666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3106.0,2612663.8966666665,1266985.457777778,257.1800002670288,10.78,7.1866665,3.78,3.5933332,0.6299999999999999,42.0,49.0,46.0,139.0,69.0,19.0
3107.0,2613310.08,1266802.705,256.0200004196167,11.94,7.96,5.64,3.98,0.94,42.0,49.0,46.0,139.0,69.0,19.0
3108.0,2613313.0975324675,1266793.8981818182,256.5000004196167,11.44,7.6266665,7.0,3.8133333,1.1666666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3109.0,2612597.655,1266956.63,260.67000019073487,7.2,4.8,3.57,2.4,0.595,42.0,49.0,46.0,139.0,69.0,19.0
3110.0,2613494.4168852456,1266126.0062295082,259.6900001525879,8.16,5.44,4.41,2.72,0.735,42.0,49.0,46.0,139.0,69.0,19.0
3111.0,2613485.845962441,1266615.744319249,257.4500001144409,10.37,6.9133334,8.23,3.4566667,1.3716666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3112.0,2612662.531960784,1266979.903529412,257.79999977111817,10.01,6.6733336,4.03,3.3366668,0.6716666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3113.0,2613361.206923077,1266652.9902564103,257.3400004196167,10.44,6.96,6.1,3.48,1.0166666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3114.0,2613371.295730337,1266640.5491011236,256.57000019073485,11.2,7.4666667,7.53,3.7333333,1.255,42.0,49.0,46.0,139.0,69.0,19.0
