Tree_ID,X,Y,Z,Crown_Diameter_m
46.0,2612740.015185185,1266004.8244444446,284.86,6.56
47.0,2612248.098023256,1266131.033488372,284.8,7.4
48.0,2612111.5872649574,1266258.7637606838,284.76,6.1
49.0,2612281.057927928,1266235.2421621622,284.76,5.94
50.0,2612638.4304032256,1266005.9993548389,284.76,8.88
51.0,2613258.421245791,1266817.931851852,284.75,9.72
52.0,2612185.3091666666,1266301.1466666667,284.74,6.18
53.0,2612244.297883212,1266160.3208759124,284.66,6.6
54.0,2612758.88,1266026.9470212767,284.66,5.47
55.0,2612189.7936363635,1266130.8527272728,284.6,5.92
56.0,2612750.79875,1266003.06125,284.59,5.05
57.0,2612708.391658031,1266036.989326425,284.58,7.84
58.0,2612258.546,1266083.904,284.56,6.31
59.0,2612725.745702479,1266029.199834711,284.54,6.21
60.0,2612240.696666667,1266200.5133333334,284.53,3.78
61.0,2612725.4020588235,1266043.734411765,284.5,9.3
62.0,2612124.1162068965,1266201.0386206897,284.49,6.79
63.0,2612116.001794872,1266197.485982906,284.48,6.1
64.0,2612141.3288950277,1266213.7567955805,284.48,7.59
65.0,2612179.6483823527,1266308.874117647,284.48,6.58
66.0,2612760.652727273,1266022.636818182,284.41,3.74
67.0,2612789.884464286,1266006.6692857144,284.4,5.97
68.0,2613245.7185608856,1266728.305092251,284.38,9.29
69.0,2612106.56902439,1266239.7141463414,284.37,6.26
70.0,2612157.6743548387,1266316.656612903,284.37,6.28
71.0,2612130.181351351,1266346.6232432434,284.36,7.67
72.0,2612190.2966666664,1266176.1697435898,284.35,6.1
73.0,2612626.3904166664,1266007.116458333,284.35,5.53
74.0,2612251.979593496,1266236.5312195122,284.34,6.26
75.0,2612184.9784848485,1266098.6254545455,284.32,5.61
76.0,2612272.018888889,1266248.456068376,284.32,6.1
77.0,2612102.9461764703,1266241.499117647,284.28,4.65
78.0,2612111.652222222,1266184.3244444446,284.27,6.56
79.0,2612275.784811716,1266221.7620083685,284.27,8.72
80.0,2612629.995079365,1266004.8577777778,284.26,4.48
81.0,2612778.706923077,1266032.5463461538,284.25,5.75
82.0,2612173.4633333334,1266252.8022222223,284.24,4.48
83.0,2612693.973283582,1266081.3486567163,284.23,9.24
84.0,2612669.3398765437,1266006.5923456792,284.2,8.79
85.0,2612654.579275362,1266040.346304348,284.16,9.37
86.0,2612796.2966666664,1266064.8577777778,284.16,9.87
87.0,2612766.4376923074,1266025.2626923078,284.14,4.07
88.0,2612304.285737705,1266186.4898360656,284.13,6.23
89.0,2612134.020625,1266334.908125,284.07,6.38
90.0,2612730.4022772275,1266016.6790099011,284.07,5.67
91.0,2612143.755,1266205.47,284.03,5.64
92.0,2612770.74875,1266019.3050000002,284.01,5.05
93.0,2612262.107272727,1266089.663333333,283.97,6.48
94.0,2612513.012022472,1266010.5996629214,283.97,7.53
95.0,2612520.9191791043,1266010.5277611942,283.95,9.24
96.0,2612724.3648066297,1266016.0219889504,283.9,7.59
97.0,2612300.1408695653,1266180.1560869566,283.88,6.63
98.0,2612777.104576271,1266037.546101695,283.88,4.33
99.0,2612142.6465289253,1266438.87338843,283.83,6.21
100.0,2612146.08,1266439.28,283.83,4.37
101.0,2612274.3106722687,1266135.3068907564,283.82,6.15
102.0,2612201.2123529413,1266230.8388235294,283.81,5.2
103.0,2612129.657173913,1266287.4876086956,283.78,5.41
104.0,2612716.1444927533,1266007.025652174,283.78,6.63
105.0,2612786.195116279,1266070.028837209,283.78,8.27
106.0,2612648.091832061,1266005.64870229,283.76,6.46
107.0,2612782.4498198195,1266002.102522523,283.76,5.94
108.0,2612227.9662068966,1266210.5713793105,283.74,4.3
109.0,2612674.0461392403,1266048.5420253165,283.73,10.03
110.0,2612537.433977273,1266013.4010227274,283.7,7.48
111.0,2612644.1766666668,1266008.4466666668,283.7,4.89
112.0,2612117.562773109,1266341.3699159664,283.66,6.15
113.0,2612530.342230216,1266020.7058992807,283.66,6.65
114.0,2612431.6703726705,1266112.5054658386,283.65,7.16
115.0,2612763.7498630136,1266088.5354794522,283.63,6.82
116.0,2612225.9091666667,1266168.1800000002,283.62,6.18
117.0,2612220.88,1266198.9912903227,283.6,4.44
118.0,2612292.365714285,1266160.4300000002,283.6,4.72
119.0,2612765.0629268293,1266070.366585366,283.6,7.23
120.0,2612161.7966666664,1266261.7466666668,283.59,4.89
121.0,2612163.556829268,1266244.854390244,283.59,5.11
122.0,2612438.5278494623,1266114.760107527,283.58,7.69
123.0,2612309.710645161,1266147.3541935484,283.55,3.14
124.0,2612177.88,1266233.9023684212,283.54,4.92
125.0,2612746.469285714,1266087.0234523811,283.54,7.31
126.0,2612393.785688623,1266158.8764071858,283.5,7.29
127.0,2612715.6701234565,1266028.5090123457,283.5,7.18
128.0,2612721.337006369,1266035.4175796178,283.5,7.07
129.0,2612278.872424242,1266169.686060606,283.49,4.58
130.0,2612732.542337662,1266010.6774025974,283.45,7.0
131.0,2612905.98492228,1266217.727668394,283.45,7.84
132.0,2612664.56939394,1266002.6002020205,283.44,5.61
133.0,2612746.1995876287,1266010.3583505156,283.43,7.86
134.0,2612720.63,1266038.4221052632,283.42,2.46
135.0,2612318.474827586,1266624.663333333,283.41,7.44
136.0,2612787.0425874125,1266033.6254545455,283.39,6.75
137.0,2612648.33,1266015.49,283.37,6.91
138.0,2612111.4633333334,1266126.33,283.36,1.95
139.0,2612690.1702684565,1266050.1638926174,283.33,6.89
140.0,2612267.1563888886,1266369.5452777778,283.32,10.7
141.0,2612405.5377669903,1266115.3664077672,283.32,5.73
142.0,2612780.593963964,1266059.1836036036,283.32,5.94
143.0,2612686.482739726,1266086.758082192,283.31,6.82
144.0,2612767.606190476,1266066.2942857144,283.31,3.66
145.0,2612391.5075510205,1266126.972857143,283.29,5.59
146.0,2612686.218235294,1266017.778529412,283.29,4.65
147.0,2612657.75,1266025.8833333333,283.28,6.91
148.0,2612338.90247191,1266176.9929213484,283.27,7.53
149.0,2612417.505862069,1266104.8489655172,283.26,6.79
150.0,2612109.8534848485,1266275.705,283.22,6.48
151.0,2612768.41,1266062.27,283.22,3.99
152.0,2612260.2939344263,1266184.6127868854,283.2,4.41
153.0,2612322.954074074,1266306.316111111,283.17,5.86
154.0,2612310.449230769,1266287.3761538465,283.16,6.43
155.0,2612733.3713793103,1266103.2696551725,283.16,7.44
156.0,2612795.77516129,1266015.8756989248,283.15,5.44
157.0,2612785.80037037,1266058.717037037,283.13,6.56
158.0,2612156.919308176,1266202.8881761008,283.07,7.11
159.0,2612366.9668055554,1266078.42375,283.07,6.77
160.0,2612517.321011236,1266023.5519101124,283.07,7.53
161.0,2612398.253893805,1266134.2215929204,283.06,6.0
162.0,2613039.282941177,1266950.2961764706,283.06,10.4
163.0,2612119.852580645,1266268.592903226,283.05,7.02
164.0,2612270.33,1266177.2133333334,283.04,3.09
165.0,2612386.2868965515,1266296.3662068967,283.03,9.61
166.0,2612313.9184615384,1266143.031923077,283.02,4.07
167.0,2612780.266363636,1266021.636818182,283.02,3.74
168.0,2612298.9335714285,1266154.222857143,283.01,4.22
169.0,2612633.12044586,1266010.8411464968,283.08,7.07
170.0,2612769.0236170213,1266029.835319149,283.01,3.87
171.0,2612785.415714286,1266025.5621428571,283.0,2.99
172.0,2612901.998794326,1266080.3565957448,282.99,6.7
